8902801,8901547,8901463,26775229,6,2,false,8822
8907146,8901547,8901463,26793763,8,2,false,29061
8901547,8901463,8901463,26771646,1,1,false,39668
69219208901547,8901463,8901463,26771669,2,1,false,56581
76851288902924,8901463,8901463,29928753,9,1,false,192971
8902924,8901463,8901463,26775674,7,1,false,7202
8901958,8901547,8901463,26772749,5,2,false,55023
8901463,null,8901463,26771465,0,0,false,39668
8901639,8901463,8901463,26771885,4,1,false,132971
69219318901463,8901463,8901463,26771707,3,1,false,46918
